title,price,pay_count,cluster,cluster_name
【政府补贴立减500元】联想moto X70 Air Pro等身直屏<span class=H>手机</span>第5代骁龙8芯片双8K3.5°云台级防抖影像摩托罗拉,3919.0,6,0,小众潜力款
【国家补贴】Apple/苹果 iPhone 17 Pro Max<span class=H>手机</span>官方旗舰店官网正品全新2025年新款5G全网通<span class=H>手机</span>,9499.05,10000,2,高端溢价款
【政府补贴】HUAWEI/华为Pura80Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网,2199.0,100,0,小众潜力款
Apple/苹果 iPhone 14苹果12/13/14 国行正品5G全网通双卡<span class=H>手机</span>,1410.0,500,2,高端溢价款
【官网正品 现货速发】Huawei/华为 畅享 70X 活力版 新品<span class=H>手机</span>一键北斗鸿蒙安全华为巨鲸长续航,1171.15,1000,2,高端溢价款
【政府补贴】HUAWEI/华为Mate60Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网mate70pro,1699.0,200,2,高端溢价款
i17ProMax<span class=H>手机</span>国行官方正品全新未激活原封现货5G全网通512GB便宜千百元学生老人备用机,388.0,57,0,小众潜力款
金立 L98(P18）2026新款三防老年人智能<span class=H>手机</span>专用大屏大字体大图标大音量语音播报大电池超长待机持久续航纯净,454.0,2000,2,高端溢价款
华为HMS生态智能<span class=H>手机</span>！512GB大内存！30天免费试用！,321.0,2000,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14pro max 全新正品<span class=H>手机</span>,3470.0,100,0,小众潜力款
Apple/苹果 iPhone 15 Pro Max国行双卡全网通5G预激活正品<span class=H>手机</span>,4383.0,700,2,高端溢价款
【新品上市】Redmi 红米14C<span class=H>手机</span>新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,418.0,900,2,高端溢价款
【新品上市】Honor/荣耀Power2 <span class=H>手机</span>官方旗舰店正品新款上市智能游戏官网荣耀<span class=H>手机</span>power2,2203.2,300,2,高端溢价款
【5G华为智选】Hi畅享80S 5G<span class=H>手机</span>2025年新款鸿蒙特性学生老年智选华为<span class=H>手机</span>5G全新正品补贴智能hi畅享80Pro,836.0,100,2,高端溢价款
赠原装壳膜】努比亚红魔11 Air 电竞游戏<span class=H>手机</span> 骁龙8至尊版7000mAh,3667.45,24,0,小众潜力款
【未拆封】iPhone 12 mini国行正品双卡苹果12Pro Max<span class=H>手机</span>未拆封,1799.0,4,0,小众潜力款
Apple/苹果 iPhone 14 Pro Max 原装 苹果13pro max 全新正品<span class=H>手机</span>,2759.0,1000,2,高端溢价款
17Promax5G智能<span class=H>手机</span>！1024GB超大内存！30天免费试用！,275.0,83,2,高端溢价款
17mini智能迷你小<span class=H>手机</span> 华强北5G全网通4英寸超小屏高清像素长续航学生百元儿童备用家长管控迷你<span class=H>手机</span>官方正品,375.0,59,0,小众潜力款
2025年新款华为智选 Hi畅享80Pro 5G<span class=H>手机</span>旗舰正品WIKO<span class=H>手机</span>鸿蒙生态系统40W超级快充智能昆仑玻璃正品hi畅享80,749.0,700,2,高端溢价款
M80【26年新款】360OS奇少年学生专用<span class=H>手机</span>5G全网通护眼戒网初高中家长远程可控安全上网防破解禁游戏助学习,2886.45,32,0,小众潜力款
【政府补贴】官方正品P70pro安卓智能5G<span class=H>手机</span>,315.33,30,0,小众潜力款
2025新款正品M60pro学生价游戏智能<span class=H>手机</span>512G大内存5G全网通双卡双待超长待机老人老年官方旗舰店,295.0,1000,2,高端溢价款
Apple/苹果 iPhone 15 Plus 苹果15 plus 原封 全新正品双卡 <span class=H>手机</span>,3800.0,700,2,高端溢价款
新品Huawei/华为 Mate XT三折叠屏<span class=H>手机</span>华为mate xt非凡大师折叠款,16258.0,200,0,小众潜力款
【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体<span class=H>手机</span>  安全加密三系统 礼品送礼 24期免息,29422.0,30,0,小众潜力款
【256GB升杯512GB】Samsung/三星 Galaxy Z Fold7超轻薄折叠屏旗舰AI<span class=H>手机</span> 2亿像素 骁龙8至尊版,13499.0,4000,2,高端溢价款
耐耐耐~！抗水防尘多功能NFC大内存强劲性能智能<span class=H>手机</span>,951.15,30000,2,高端溢价款
新品上市OPPOReno15正品新款学生智能宋雨琦精致小直屏2亿,2396.15,40000,2,高端溢价款
【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏<span class=H>手机</span>iQOO官方旗舰店官网正品vivoiqoo15,3699.0,40000,2,高端溢价款
【国家补贴至高省500元】vivo S50 学生拍照大电池<span class=H>手机</span> vivo<span class=H>手机</span>官方旗舰店正品官网新款s30,2549.15,0,0,小众潜力款
新品上市OPPO Find X9旗舰正品新款孙颖莎同款4K超清实况照片天玑9500,3724.61,10000,2,高端溢价款
Apple/苹果 iPhone 17 Pro<span class=H>手机</span> 5G全网通 2025新品官网全新原封正品<span class=H>手机</span>,8549.05,10000,2,高端溢价款
【至高享6期免息】REDMI K90红米k90<span class=H>手机</span>官方旗舰店游戏拍照学生旗舰智能小米<span class=H>手机</span>红米<span class=H>手机</span>redmik90,2182.33,40000,2,高端溢价款
vivo iQOO Z10x官网正品新款大电池iQOO官方旗舰店国家补贴<span class=H>手机</span>入口学生老人智能,845.77,30000,2,高端溢价款
政府补贴 OPPO一加Turbo6电竞三芯9000mAh冰川电池AI游戏<span class=H>手机</span>一加官方,1784.15,3000,2,高端溢价款
【旗舰新品】2025新款正品512G大内存15promax智能<span class=H>手机</span>5G全网通安卓超薄学生价游戏百元大屏老年人官方旗舰店,288.0,600,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span>,5967.45,0,0,小众潜力款
Apple/苹果 iPhone 14 Pro Max 新机 苹果14promax 原封正品<span class=H>手机</span>,2799.0,800,2,高端溢价款
新品上市一加 15 第五代骁龙8至尊版性能旗舰<span class=H>手机</span>高刷电竞游戏,3499.0,10000,2,高端溢价款
威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体<span class=H>手机</span>5G商务智能礼盒,10520.0,88,0,小众潜力款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> A19 Pro 芯片 2025新款 全国联保 游戏拍照 支持淘金币,8999.0,1000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro Max <span class=H>手机</span>,9967.45,0,0,小众潜力款
iKKO MindOne 卡片AI<span class=H>手机</span>小屏便携AI工具双系统索尼5000万翻转镜头,2899.0,1000,2,高端溢价款
【国家补贴】Apple/苹果 iPhone 17 Pro Max<span class=H>手机</span>官方旗舰店官网正品全新2025年新款5G全网通<span class=H>手机</span>,9499.05,10000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span> A19芯片 2025新款 全新原封 顺丰包邮 支持淘金币 国家补贴,5967.45,3000,2,高端溢价款
【官方正品】跑骑手外卖员专用智能<span class=H>手机</span>军工三防电霸大电池容量超长续航待机5G全网通防水防摔户外防爆备用机,841.0,26,0,小众潜力款
【至高优惠569元】Samsung/三星 Galaxy A56 5G智能拍照<span class=H>手机</span>官方旗舰店正品 设计轻薄时尚游戏<span class=H>手机</span>,2209.15,5000,2,高端溢价款
16Promax智能百元<span class=H>手机</span>！30天免费试用！免费送蓝牙耳机！,278.0,300,2,高端溢价款
【政府补贴立减500元】联想moto X70 Air Pro等身直屏<span class=H>手机</span>第5代骁龙8芯片双8K3.5°云台级防抖影像摩托罗拉,3919.0,6,0,小众潜力款
【至高享6期免息】REDMI K90红米k90<span class=H>手机</span>官方旗舰店游戏拍照学生旗舰智能<span class=H>手机</span>小米<span class=H>手机</span>红米<span class=H>手机</span>redmik90,2114.33,30000,2,高端溢价款
华为HMS生态智能<span class=H>手机</span>！512GB大内存！30天免费试用！,321.0,2000,2,高端溢价款
【新品上市】Redmi 红米14C<span class=H>手机</span>新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,418.0,900,2,高端溢价款
Apple/苹果 iPhone 14苹果12/13/14 国行正品5G全网通双卡<span class=H>手机</span>,1410.0,500,2,高端溢价款
【新品上市】Honor/荣耀Power2 <span class=H>手机</span>官方旗舰店正品新款上市智能游戏官网荣耀<span class=H>手机</span>power2,2203.2,300,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14pro max 全新正品<span class=H>手机</span>,3470.0,100,0,小众潜力款
2025新款vivoX200pro深微四曲面屏同款5G全网通智能<span class=H>手机</span>学生游戏骁龙八核旗舰芯16+1TG大内存百元官方旗舰店,771.0,400,2,高端溢价款
【官方正品】2026新款17Air智能<span class=H>手机</span>原装全新未拆封正品512G大内存5G全网通百元学生便宜老人安卓工作备用机,284.28,100,2,高端溢价款
【Redmi Note 14】小米 红米note14<span class=H>手机</span>5G 5000万像素AI拍照高速充电,670.65,2000,2,高端溢价款
i17ProMax<span class=H>手机</span>国行官方正品全新未激活原封现货5G全网通512GB便宜千百元学生老人备用机,388.0,57,0,小众潜力款
【政府补贴】HUAWEI/华为Pura80Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网,2199.0,100,0,小众潜力款
国行正品 Apple/苹果 iPhone 14/苹果14/13/12全网通<span class=H>手机</span>三期免息,1709.0,1000,2,高端溢价款
【政府补贴】HUAWEI/华为Mate60Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网mate70pro,1699.0,200,2,高端溢价款
Apple/苹果 iPhone 15 Pro Max国行双卡全网通5G预激活正品<span class=H>手机</span>,4383.0,700,2,高端溢价款
【送碎屏保+顺丰速发】honor/荣耀X705G智能<span class=H>手机</span>新款上市荣耀<span class=H>手机</span>官方旗舰店国补<span class=H>手机</span>学生游戏<span class=H>手机</span>荣耀x70,1650.01,6000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> 全新 正品保证 2025 新款 正品保障 游戏拍照<span class=H>手机</span> 全新国行正品  苹果17pro<span class=H>手机</span>,8967.45,13,0,小众潜力款
iPhone 17 Pro Max版6.9寸美韩欧香港澳门PM苹果<span class=H>手机</span>国内代购花呗,6750.0,28,0,小众潜力款
vivo S20 直面屏 6500大电池 512大内存闪充轻薄拍照旗舰智能<span class=H>手机</span>,1470.0,29,0,小众潜力款
【未拆封】iPhone 12 mini国行正品双卡苹果12Pro Max<span class=H>手机</span>未拆封,1799.0,4,0,小众潜力款
【高性价比】Redmi 红米14C<span class=H>手机</span>新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,469.0,300,2,高端溢价款
pink floyd月之暗面华为荣耀小米OPPO红米realme三星vivo一加iQOO78<span class=H>手机</span>壳适用16苹果13iPhone17promax14xr15,14.9,200,1,大众走量款
赠原装壳膜】努比亚红魔11 Air 电竞游戏<span class=H>手机</span> 骁龙8至尊版7000mAh,3667.45,24,0,小众潜力款
【政府补贴】官方正品P70pro安卓智能5G<span class=H>手机</span>,315.33,30,0,小众潜力款
【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体<span class=H>手机</span>  安全加密三系统 礼品送礼 24期免息,29422.0,30,0,小众潜力款
【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏<span class=H>手机</span>iQOO官方旗舰店官网正品vivoiqoo15,3699.0,40000,2,高端溢价款
新品上市OPPOReno15正品新款学生智能宋雨琦精致小直屏2亿,2396.15,40000,2,高端溢价款
新品上市OPPO Reno15正品新款宋雨琦星光蝴蝶结 2 亿像素超清影像oppo,2396.15,10000,2,高端溢价款
【国家补贴至高立省15%】vivo Y300t<span class=H>手机</span>5G轻薄6500毫安时44W闪充大内存天玑7300耐用<span class=H>手机</span>官网正品,951.15,30000,2,高端溢价款
【国家补贴至高省500元】vivo S50 学生拍照大电池<span class=H>手机</span> vivo<span class=H>手机</span>官方旗舰店正品官网新款s30,2549.15,0,0,小众潜力款
Apple/苹果 iPhone 17 Pro<span class=H>手机</span> 5G全网通 2025新品官网全新原封正品<span class=H>手机</span>,8549.05,10000,2,高端溢价款
Apple/苹果 iPhone 17 Pro <span class=H>手机</span>,8967.45,10000,2,高端溢价款
政府补贴 OPPO一加Turbo6电竞三芯9000mAh冰川电池AI游戏<span class=H>手机</span>一加官方,1784.15,3000,2,高端溢价款
vivo iQOO Z10x官网正品新款大电池iQOO官方旗舰店国家补贴<span class=H>手机</span>入口学生老人智能,845.77,30000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span>,5967.45,0,0,小众潜力款
Apple/苹果 iPhone 14 Pro Max 新机 苹果14promax 原封正品<span class=H>手机</span>,2799.0,800,2,高端溢价款
新品上市一加 15 第五代骁龙8至尊版性能旗舰<span class=H>手机</span>高刷电竞游戏,3499.0,10000,2,高端溢价款
威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体<span class=H>手机</span>5G商务智能礼盒,10520.0,88,0,小众潜力款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> A19 Pro 芯片 2025新款 全国联保 游戏拍照 支持淘金币,8999.0,1000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro Max <span class=H>手机</span>,9967.45,0,0,小众潜力款
iKKO MindOne 卡片AI<span class=H>手机</span>小屏便携AI工具双系统索尼5000万翻转镜头,2899.0,1000,2,高端溢价款
【国家补贴】Apple/苹果 iPhone 17 Pro Max<span class=H>手机</span>官方旗舰店官网正品全新2025年新款5G全网通<span class=H>手机</span>,9499.05,10000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span> A19芯片 2025新款 全新原封 顺丰包邮 支持淘金币 国家补贴,5967.45,3000,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14promax 全新<span class=H>手机</span>正品,2850.0,300,2,高端溢价款
【官方正品】跑骑手外卖员专用智能<span class=H>手机</span>军工三防电霸大电池容量超长续航待机5G全网通防水防摔户外防爆备用机,841.0,26,0,小众潜力款
Redmi Note 14 5G<span class=H>手机</span>红米note<span class=H>手机</span>小米<span class=H>手机</span>小米官方旗舰店官网新品小米note14,799.87,100000,2,高端溢价款
【至高优惠569元】Samsung/三星 Galaxy A56 5G智能拍照<span class=H>手机</span>官方旗舰店正品 设计轻薄时尚游戏<span class=H>手机</span>,2209.15,5000,2,高端溢价款
【政府补贴立减500元】联想moto X70 Air Pro等身直屏<span class=H>手机</span>第5代骁龙8芯片双8K3.5°云台级防抖影像摩托罗拉,3919.0,6,0,小众潜力款
【至高享6期免息】REDMI K90红米k90<span class=H>手机</span>官方旗舰店游戏拍照学生旗舰智能小米<span class=H>手机</span>红米<span class=H>手机</span>redmik90,2182.33,40000,2,高端溢价款
【新品上市】Redmi 红米14C<span class=H>手机</span>新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,418.0,900,2,高端溢价款
【政府补贴】HUAWEI/华为Mate60Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网mate70pro,1699.0,200,2,高端溢价款
Apple/苹果 iPhone 14苹果12/13/14 国行正品5G全网通双卡<span class=H>手机</span>,1410.0,500,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14pro max 全新正品<span class=H>手机</span>,3470.0,100,0,小众潜力款
【政府补贴】HUAWEI/华为Pura80Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网,2199.0,100,0,小众潜力款
【新品上市】Honor/荣耀Power2 <span class=H>手机</span>官方旗舰店正品新款上市智能游戏官网荣耀<span class=H>手机</span>power2,2203.2,300,2,高端溢价款
【官方正品】2026全新原封X200Pro旗舰智能<span class=H>手机</span>超大内存6.5英寸大屏全网通双卡千百元价学生工作老人备用机店,348.0,100,2,高端溢价款
华为HMS生态智能<span class=H>手机</span>！512GB大内存！30天免费试用！,321.0,2000,2,高端溢价款
【官方正品】2026新款17Air智能<span class=H>手机</span>原装全新未拆封正品512G大内存5G全网通百元学生便宜老人安卓工作备用机,284.28,100,2,高端溢价款
国行正品 Apple/苹果 iPhone 14/苹果14/13/12全网通<span class=H>手机</span>三期免息,1709.0,1000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> 全新 正品保证 2025 新款 正品保障 游戏拍照<span class=H>手机</span> 全新国行正品  苹果17pro<span class=H>手机</span>,8967.45,13,0,小众潜力款
i17ProMax<span class=H>手机</span>国行官方正品全新未激活原封现货5G全网通512GB便宜千百元学生老人备用机,388.0,57,0,小众潜力款
Apple/苹果 iPhone 15 Pro Max国行双卡全网通5G预激活正品<span class=H>手机</span>,4383.0,700,2,高端溢价款
2025年新款华为智选 Hi畅享80Pro 5G<span class=H>手机</span>旗舰正品WIKO<span class=H>手机</span>鸿蒙生态系统40W超级快充智能昆仑玻璃正品hi畅享80,749.0,700,2,高端溢价款
【Redmi Note 14】小米 红米note14<span class=H>手机</span>5G 5000万像素AI拍照高速充电,670.65,2000,2,高端溢价款
【送碎屏保+顺丰速发】honor/荣耀X705G智能<span class=H>手机</span>新款上市荣耀<span class=H>手机</span>官方旗舰店国补<span class=H>手机</span>学生游戏<span class=H>手机</span>荣耀x70,1650.01,6000,2,高端溢价款
17Promax5G智能<span class=H>手机</span>！1024GB超大内存！30天免费试用！,275.0,83,2,高端溢价款
【官方旗舰】2026新品未拆封智能<span class=H>手机</span>超大内存全网通双卡千百元学生价超薄6.5英寸大屏电竞游戏便宜备用机店,348.0,50,0,小众潜力款
新品Huawei/华为 Mate XT三折叠屏<span class=H>手机</span>华为mate xt非凡大师折叠款,16258.0,200,0,小众潜力款
iPhone 17 Pro Max版6.9寸美韩欧香港澳门PM苹果<span class=H>手机</span>国内代购花呗,6750.0,28,0,小众潜力款
赠原装壳膜】努比亚红魔11 Air 电竞游戏<span class=H>手机</span> 骁龙8至尊版7000mAh,3667.45,24,0,小众潜力款
金立 L98(P18）2026新款三防老年人智能<span class=H>手机</span>专用大屏大字体大图标大音量语音播报大电池超长待机持久续航纯净,454.0,2000,2,高端溢价款
17mini智能迷你小<span class=H>手机</span> 华强北5G全网通4英寸超小屏高清像素长续航学生百元儿童备用家长管控迷你<span class=H>手机</span>官方正品,375.0,59,0,小众潜力款
【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体<span class=H>手机</span>  安全加密三系统 礼品送礼 24期免息,29422.0,30,0,小众潜力款
【256GB升杯512GB】Samsung/三星 Galaxy Z Fold7超轻薄折叠屏旗舰AI<span class=H>手机</span> 2亿像素 骁龙8至尊版,13499.0,4000,2,高端溢价款
戒网神器！学生专用无游戏电话<span class=H>手机</span>,70.46,10000,2,高端溢价款
新品上市OPPOReno15正品新款学生智能宋雨琦精致小直屏2亿,2396.15,40000,2,高端溢价款
【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏<span class=H>手机</span>iQOO官方旗舰店官网正品vivoiqoo15,3699.0,40000,2,高端溢价款
新品上市OPPO Reno15正品新款宋雨琦星光蝴蝶结 2 亿像素超清影像oppo,2396.15,10000,2,高端溢价款
耐耐耐~！抗水防尘多功能NFC大内存强劲性能智能<span class=H>手机</span>,951.15,30000,2,高端溢价款
【国家补贴至高立省500元】vivo X300新品蔡司2亿超级主摄天玑9500拍照学生智能<span class=H>手机</span>官方旗舰店官网,3749.0,0,0,小众潜力款
Apple/苹果 iPhone 17 Pro<span class=H>手机</span> 5G全网通 2025新品官网全新原封正品<span class=H>手机</span>,8549.05,10000,2,高端溢价款
Apple/苹果 iPhone 17 Pro <span class=H>手机</span>,8967.45,10000,2,高端溢价款
政府补贴 OPPO一加Turbo6电竞三芯9000mAh冰川电池AI游戏<span class=H>手机</span>一加官方,1784.15,3000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span>,5967.45,0,0,小众潜力款
新品上市一加 15 第五代骁龙8至尊版性能旗舰<span class=H>手机</span>高刷电竞游戏,3499.0,10000,2,高端溢价款
威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体<span class=H>手机</span>5G商务智能礼盒,10520.0,88,0,小众潜力款
vivo iQOO Z10x官网正品新款大电池iQOO官方旗舰店国家补贴<span class=H>手机</span>入口学生老人智能,845.77,30000,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 新机 苹果14promax 原封正品<span class=H>手机</span>,2799.0,800,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> A19 Pro 芯片 2025新款 全国联保 游戏拍照 支持淘金币,8999.0,1000,2,高端溢价款
iKKO MindOne 卡片AI<span class=H>手机</span>小屏便携AI工具双系统索尼5000万翻转镜头,2899.0,1000,2,高端溢价款
国行正品 Apple/苹果 iPhone 14/苹果14/13/12全网通<span class=H>手机</span>三期免息,1709.0,1000,2,高端溢价款
【至高优惠569元】Samsung/三星 Galaxy A56 5G智能拍照<span class=H>手机</span>官方旗舰店正品 设计轻薄时尚游戏<span class=H>手机</span>,2209.15,5000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro Max <span class=H>手机</span>,9967.45,0,0,小众潜力款
【官方正品】跑骑手外卖员专用智能<span class=H>手机</span>军工三防电霸大电池容量超长续航待机5G全网通防水防摔户外防爆备用机,841.0,26,0,小众潜力款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span> A19芯片 2025新款 全新原封 顺丰包邮 支持淘金币 国家补贴,5967.45,3000,2,高端溢价款
Redmi Note 14 5G<span class=H>手机</span>红米note<span class=H>手机</span>小米<span class=H>手机</span>小米官方旗舰店官网新品小米note14,799.87,100000,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14promax 全新<span class=H>手机</span>正品,2850.0,300,2,高端溢价款
【政府补贴立减500元】联想moto X70 Air Pro等身直屏<span class=H>手机</span>第5代骁龙8芯片双8K3.5°云台级防抖影像摩托罗拉,3919.0,6,0,小众潜力款
【政府补贴】HUAWEI/华为Mate60Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网mate70pro,1699.0,200,2,高端溢价款
【至高享6期免息】REDMI K90红米k90<span class=H>手机</span>官方旗舰店游戏拍照学生旗舰智能小米<span class=H>手机</span>红米<span class=H>手机</span>redmik90,2182.33,40000,2,高端溢价款
【政府补贴】HUAWEI/华为Pura80Pro 5G<span class=H>手机</span>2026年新款华为<span class=H>手机</span>官方旗舰店正品官网,2199.0,100,0,小众潜力款
16Promax智能百元<span class=H>手机</span>！30天免费试用！免费送蓝牙耳机！,278.0,300,2,高端溢价款
【新品上市】Redmi 红米14C<span class=H>手机</span>新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,418.0,900,2,高端溢价款
Apple/苹果 iPhone 14苹果12/13/14 国行正品5G全网通双卡<span class=H>手机</span>,1410.0,500,2,高端溢价款
华为HMS生态智能<span class=H>手机</span>！512GB大内存！30天免费试用！,321.0,2000,2,高端溢价款
【官方正品】2026新款17Air智能<span class=H>手机</span>原装全新未拆封正品512G大内存5G全网通百元学生便宜老人安卓工作备用机,284.28,100,2,高端溢价款
【官方正品】2026全新原封X200Pro旗舰智能<span class=H>手机</span>超大内存6.5英寸大屏全网通双卡千百元价学生工作老人备用机店,348.0,100,2,高端溢价款
i17ProMax<span class=H>手机</span>国行官方正品全新未激活原封现货5G全网通512GB便宜千百元学生老人备用机,388.0,57,0,小众潜力款
2025新款vivoX200pro深微四曲面屏同款5G全网通智能<span class=H>手机</span>学生游戏骁龙八核旗舰芯16+1TG大内存百元官方旗舰店,771.0,400,2,高端溢价款
2025年新款华为智选 Hi畅享80Pro 5G<span class=H>手机</span>旗舰正品WIKO<span class=H>手机</span>鸿蒙生态系统40W超级快充智能昆仑玻璃正品hi畅享80,749.0,700,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 原封 苹果14pro max 全新正品<span class=H>手机</span>,3470.0,100,0,小众潜力款
Apple/苹果 iPhone 15 Pro Max国行双卡全网通5G预激活正品<span class=H>手机</span>,4383.0,700,2,高端溢价款
